6.2.7	2026-03-16	9	5.7	0		629	699	103	2061	958.67	864	911	1101	108	699
	2026-03-26	41	0.1	0					31011	10801	11043	10558	10802	200	680
3.4.5	2026-02-05	1	0	0		1573			4944	2494.33	2500	2481	2502	152	476
2.1.16	2026-02-17	3	0	0					1301	433.67	255	663	383	28	87
